train,val,recon,beta,lr
381.23884651430194,1164.4632879780902,331.4915781254947,0.0,0.001
340.9743601152974,422.7589890314815,323.3114982751848,0.1,0.0009997532801828658
335.53758072391634,398.58940685701225,326.70559132120894,0.2,0.0009990133642141358
337.1995603499874,386.8426669629995,325.46502270606754,0.3,0.00099778098230154
340.3845222719254,376.92511628836,326.61853119483953,0.4,0.000996057350657239
343.2120735414567,367.2359592055115,325.03196597268396,0.5,0.0009938441702975688
346.6118510584677,363.4459987219102,327.14906901907415,0.6,0.0009911436253643444
348.4973491053427,360.37315171076534,329.04338887223355,0.7,0.0009879583809693736
349.4095006142893,362.58110702808386,337.95540954528,0.8,0.0009842915805643154
350.76595951203376,354.46191063661587,331.5463899962204,0.9,0.0009801468428384714
352.0201097057712,353.91968283609776,334.1245936060387,1.0,0.0009755282581475767
350.9869386734501,352.44089643020396,333.4663469463375,1.0,0.0009704403844771127
349.1155745967742,350.8836780799317,333.31643755293425,1.0,0.0009648882429441257
346.9481663857737,350.64875422113454,334.462633071482,1.0,0.0009588773128419905
345.949998031124,347.82414364645666,332.63668878897346,1.0,0.0009524135262330098
344.3291787424395,347.1018303559061,331.91829351021283,1.0,0.0009455032620941839
342.53389301915325,345.71880851830633,331.0723948500922,1.0,0.0009381533400219318
341.89408451203377,344.77354421567287,330.575660533963,1.0,0.0009303710135019719
340.7481636293473,343.7667343495223,329.92681939184,1.0,0.0009221639627510076
339.73231338993196,342.820577919447,329.02050543169605,1.0,0.000913540287137281
338.9243130591608,342.25103026972715,328.5639219892786,1.0,0.0009045084971874739
338.069582047001,342.1211061920197,328.31646941860396,1.0,0.0008950775061878453
337.59692146547377,341.39137609108843,327.71260153355934,1.0,0.0008852566213878948
336.9264429892263,340.8113804593999,327.0630341472838,1.0,0.0008750555348152299
336.4958740234375,340.43813684960145,326.736836825509,1.0,0.0008644843137107058
335.8003685735887,339.9553036582506,326.0953292522025,1.0,0.0008535533905932738
335.48624129756803,339.50549030091383,325.89955836395603,1.0,0.0008422735529643445
335.0110388971144,339.3837609875649,325.53728165863254,1.0,0.000830655932661826
334.20716021137855,338.8827103109466,324.94545836598434,1.0,0.000818711994874345
334.2341093986265,339.15066789899555,325.0011811323079,1.0,0.0008064535268264884
334.05679833196825,338.2160116672999,324.17037270032887,1.0,0.0007938926261462368
333.3272010064894,338.1722186334952,324.130339710425,1.0,0.0007810416889260655
