,unit_auc,naive_auc,diff
REACTOME_2_LTR_CIRCLE_FORMATION,,,
REACTOME_ABACAVIR_METABOLISM,0.49713855678934976,0.49713855678934976,0.0
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,0.49696051727377477,0.4985773263063567,-0.001616809032581934
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM,0.49592397909776664,0.4959272639596776,-3.2848619109793198e-06
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,0.4460922133005373,0.5245701922432585,-0.07847797894272124
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,0.49545038413175185,0.4964842944182313,-0.0010339102864794225
REACTOME_ABC_TRANSPORTER_DISORDERS,0.4456741325008179,0.5276542669699251,-0.08198013446910724
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,0.5118188510341403,0.4933511931275433,0.01846765790659699
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,0.49997766293900525,0.4993730841042904,0.0006045788347148751
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,0.49241451475362885,0.47194062743490395,0.020473887318724904
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,0.49817690163940886,0.5001980771732318,-0.002021175533822972
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,,,
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,0.5000054200221531,0.4995885710456504,0.0004168489765026817
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,0.49999786483975783,0.49999786483975783,0.0
REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,0.4509941306087374,0.45099462333802404,-4.927292866496735e-07
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,0.4562591894011959,0.5438221109311007,-0.08756292152990475
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5,,,
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,0.5117659647573736,0.4882340352426265,0.023531929514747085
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN,0.4813995515506519,0.4813995515506519,0.0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,0.49726141062482015,0.49726141062482015,0.0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS,0.5117659647573736,0.4882340352426265,0.023531929514747085
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,0.5027385893751799,0.49726141062482015,0.005477178750359746
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS,0.5117659647573736,0.4882340352426265,0.023531929514747085
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,,,
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,0.5375605071564002,0.5494787252633474,-0.011918218106947154
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,0.48810255864463953,0.4878617782665653,0.00024078037807423458
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,0.49902316418922377,0.47185883437332066,0.02716432981590311
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,0.4904601861596942,0.48566740838848615,0.004792777771208068
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,0.49494377630353176,0.5050562236964683,-0.010112447392936541
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,0.4411156475054101,0.5406050814185873,-0.09948943391317722
REACTOME_ACTIVATION_OF_C3_AND_C5,0.475272791357397,0.47527287347894476,-8.212154778419745e-08
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE,0.5138330462364024,0.5138330462364024,0.0
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,0.49862561377644804,0.48647638775561153,0.012149226020836512
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON,0.42162147025163355,0.4707943748710692,-0.04917290461943563
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING,0.49996600167922145,0.4972967228903632,0.0026692787888582536
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,0.5369239830396009,0.45323095732701585,0.08369302571258502
REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7,,,
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,0.5246909109184867,0.4734076467643454,0.05128326415414136
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA,0.4496417529599891,0.5499307222622976,-0.10028896930230846
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,0.49936758196058956,0.49936758196058956,0.0
REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA,0.5094415964691676,0.49061917347618544,0.018822422992982202
REACTOME_ACTIVATION_OF_RAC1,0.4977457635135934,0.4976780953582273,6.766815536607407e-05
REACTOME_ACTIVATION_OF_RAC1_DOWNSTREAM_OF_NMDARS,0.49796962685282636,0.49796962685282636,0.0
REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS,0.4882340352426265,0.4882340352426265,0.0
REACTOME_ACTIVATION_OF_SMO,0.500522293043845,0.4990861514163668,0.0014361416274781824
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS,0.5596723908670327,0.4497566410053254,0.10991574986170727
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,0.575838181789514,0.4051605344864513,0.17067764730306267
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE,0.5004025598271898,0.5004030525564764,-4.927292865941624e-07
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,0.49807260727373537,0.4812992811408193,0.016773326132916044
REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS,0.48115088750399104,0.5005672135304775,-0.019416326026486463
REACTOME_ACTIVATION_OF_TRKA_RECEPTORS,,,
REACTOME_ACYL_CHAIN_REMODELING_OF_CL,,,
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG,,,
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC,0.49992724030867186,0.4999088450819705,1.839522670138427e-05
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE,0.493305122939242,0.4994814845473526,-0.006176361608110581
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG,0.5070890604900752,0.49997257140304335,0.00711648908703183
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI,0.49699016315252137,0.5030098368474787,-0.006019673694957317
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS,0.49788545226635766,0.5022385512707818,-0.004353099004424099
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,0.5349763884125839,0.48987309921465527,0.04510328919792861
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY,0.5004104434957763,0.49958955650422365,0.000820886991552694
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY,0.5004104434957763,0.49958955650422365,0.000820886991552694
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,0.3918552834375949,0.39229381250271,-0.0004385290651151008
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION,0.5182694986118174,0.4975720764400506,0.02069742217176679
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1,0.48994553041979216,0.4970899408330673,-0.007144410413275126
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12,0.505621219945156,0.4970899408330673,0.008531279112088674
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION,0.5033058850272053,0.49731823873588005,0.005987646291325255
REACTOME_ADRENOCEPTORS,0.5029955476981658,0.5029955476981658,0.0
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING,0.5180152502999079,0.4581374734418914,0.05987777685801654
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION,0.48562667610079013,0.48565689683037105,-3.0220729580920924e-05
REACTOME_AGGREPHAGY,0.5203917657709505,0.536362764382111,-0.01597099861116047
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL,,,
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS,0.49596848897666046,0.49553340901655185,0.0004350799601086086
REACTOME_ALK_MUTANTS_BIND_TKIS,0.5052610348366177,0.5052610348366177,0.0
REACTOME_ALPHA_DEFENSINS,,,
REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM,0.5016756080607883,0.49832439193921163,0.003351216121576628
REACTOME_ALPHA_OXIDATION_OF_PHYTANATE,0.5061950853210033,0.49862265740072814,0.007572427920275182
REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY,0.5423189581206386,0.5521634429031872,-0.009844484782548624
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,0.4825031830311917,0.4712380775936941,0.011265105437497591
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS,0.5029955476981658,0.5029955476981658,0.0
REACTOME_AMINO_ACIDS_REGULATE_MTORC1,0.5140294809786786,0.5085008120178643,0.005528668960814276
REACTOME_AMINO_ACID_CONJUGATION,0.5002037435600282,0.4997962564399718,0.0004074871200563934
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE,0.5065423773465412,0.49778329306092634,0.008759084285614838
REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY,0.500610737950798,0.499389262049202,0.0012214759015960475
REACTOME_AMYLOID_FIBER_FORMATION,0.45704402503327557,0.6020753593310444,-0.14503133429776882
REACTOME_ANCHORING_FIBRIL_FORMATION,0.4997969955339017,0.4997969955339017,0.0
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,0.4768274343783137,0.47913143652267154,-0.0023040021443578307
REACTOME_ANDROGEN_BIOSYNTHESIS,0.5002046468970537,0.4997953531029463,0.0004092937941073682
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,0.4841351024285642,0.46856929153412263,0.01556581089444159
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.6413485113662791,0.6616910863301129,-0.020342574963833737
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.5938512148076319,0.5468672600441222,0.046983954763509694
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.551319808242901,0.5182662137499063,0.03305359449299472
REACTOME_ANTIMICROBIAL_PEPTIDES,0.5298969243180954,0.5039661422713113,0.025930782046784118
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,0.830796516601035,0.8335776449379622,-0.002781128336927119
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,0.51565811551414,0.47060360651558936,0.045054508998550624
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,0.44963403353449827,0.5337802059477024,-0.0841461724132041
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,0.4543033826194014,0.5358157527523858,-0.0815123701329844
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,0.5388169668373481,0.5191404797475123,0.019676487089835826
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,0.5324665896695034,0.5178253031599058,0.014641286509597617
REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY,0.5008200657760749,0.4991434722567133,0.0016765935193615578
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV_1_INFECTION,0.44463242066730013,0.5553675793327,-0.11073515866539985
REACTOME_APOPTOSIS,0.5915294744089548,0.5806799040031955,0.01084957040575929
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,0.45999752649898096,0.48538638845200227,-0.025388861953021313
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,0.4657783907330103,0.518696530660244,-0.05291813992723371
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS,0.5134382058347032,0.5142472673233763,-0.0008090614886731018
REACTOME_APOPTOTIC_EXECUTION_PHASE,0.5138275440927014,0.5003954152525335,0.013432128840167867
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE,0.5138330462364024,0.5138330462364024,0.0
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT,0.5079386900233489,0.48596887659036586,0.021969813432983043
REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG,,,
REACTOME_ARACHIDONIC_ACID_METABOLISM,0.46619671789737305,0.44058497806369223,0.025611739833680813
REACTOME_ARMS_MEDIATED_ACTIVATION,0.504286498429179,0.4957135015708209,0.008572996858358162
REACTOME_ARYL_HYDROCARBON_RECEPTOR_SIGNALLING,0.5571140582892177,0.5571140582892177,0.0
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,0.4429921248720547,0.48054105289021865,-0.03754892801816395
REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM,0.5027952532431441,0.5011588992821919,0.001636353960952186
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS,0.47372258290006003,0.487945213759104,-0.014222630859043961
REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES,0.5002041541677671,0.49979584583223285,0.0004083083355342354
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,0.48306998595393047,0.514265169820791,-0.031195183866860487
REACTOME_ASSEMBLY_OF_THE_HIV_VIRION,0.46219526336051886,0.5481701183995626,-0.08597485503904378
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,0.5026342128879586,0.49354861332839295,0.009085599559565671
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS,0.49474044335124245,0.4767752050739291,0.017965238277313333
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,0.4777085164643849,0.5319070955645167,-0.05419857910013176
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,0.5957405031357291,0.5640483196617381,0.031692183473991054
