,unit_auc,naive_auc,diff
REACTOME_2_LTR_CIRCLE_FORMATION,,,
REACTOME_ABACAVIR_METABOLISM,0.49713855678934976,0.49713855678934976,0.0
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,0.4985751911461146,0.4985773263063567,-2.135160242111578e-06
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM,0.4959410603797037,0.4959272639596776,1.3796420026079836e-05
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,0.5255390622639006,0.5245701922432585,0.0009688700206420542
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,0.4963389392786706,0.4964842944182313,-0.0001453551395606545
REACTOME_ABC_TRANSPORTER_DISORDERS,0.5363762323159459,0.5276542669699251,0.008721965346020766
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,0.49330159171268756,0.4933511931275433,-4.9601414855715564e-05
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,0.4991740214724853,0.4993730841042904,-0.00019906263180508033
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,0.47209288078447764,0.47194062743490395,0.0001522533495736944
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,0.5001901935046456,0.5001980771732318,-7.883668586283754e-06
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,,,
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,0.4995885710456504,0.4995885710456504,0.0
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,0.49999786483975783,0.49999786483975783,0.0
REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,0.4508648712925405,0.45099462333802404,-0.00012975204548354435
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,0.5527147248533966,0.5438221109311007,0.0088926139222959
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5,,,
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,0.4882340352426265,0.4882340352426265,0.0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN,0.4813995515506519,0.4813995515506519,0.0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,0.49726141062482015,0.49726141062482015,0.0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS,0.4882340352426265,0.4882340352426265,0.0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,0.49726141062482015,0.49726141062482015,0.0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS,0.4882340352426265,0.4882340352426265,0.0
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,,,
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,0.5550739947994067,0.5494787252633474,0.005595269536059266
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,0.487299902636693,0.4878617782665653,-0.0005618756298723104
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,0.46592735922067313,0.47185883437332066,-0.005931475152647525
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,0.4847330294179093,0.48566740838848615,-0.0009343789705768546
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,0.5050562236964683,0.5050562236964683,0.0
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,0.543624690730251,0.5406050814185873,0.0030196093116636735
REACTOME_ACTIVATION_OF_C3_AND_C5,0.475272791357397,0.47527287347894476,-8.212154778419745e-08
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE,0.5138330462364024,0.5138330462364024,0.0
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,0.48824791378420035,0.48647638775561153,0.0017715260285888212
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON,0.4439268323288226,0.4707943748710692,-0.026867542542246603
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING,0.4977096300325727,0.4972967228903632,0.0004129071422094843
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,0.45322422336009843,0.45323095732701585,-6.733966917416012e-06
REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7,,,
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,0.4772384527249244,0.4734076467643454,0.003830805960578998
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA,0.5498821063060152,0.5499307222622976,-4.8615956282360706e-05
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,0.49936758196058956,0.49936758196058956,0.0
REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA,0.4905763060282472,0.49061917347618544,-4.286744793824404e-05
REACTOME_ACTIVATION_OF_RAC1,0.49771899188901897,0.4976780953582273,4.089653079164535e-05
REACTOME_ACTIVATION_OF_RAC1_DOWNSTREAM_OF_NMDARS,0.49796962685282636,0.49796962685282636,0.0
REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS,0.4882340352426265,0.4882340352426265,0.0
REACTOME_ACTIVATION_OF_SMO,0.49907991017873593,0.4990861514163668,-6.241237630877361e-06
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS,0.45383101947660326,0.4497566410053254,0.00407437847127784
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,0.3958034410899435,0.4051605344864513,-0.00935709339650781
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE,0.5004030525564764,0.5004030525564764,0.0
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,0.4815129614081283,0.4812992811408193,0.00021368026730900214
REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS,0.5004425530209561,0.5005672135304775,-0.0001246605095214237
REACTOME_ACTIVATION_OF_TRKA_RECEPTORS,,,
REACTOME_ACYL_CHAIN_REMODELING_OF_CL,,,
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG,,,
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC,0.5000633978348819,0.4999088450819705,0.00015455275291137438
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE,0.4993215117722881,0.4994814845473526,-0.00015997277506446528
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG,0.49975921962192554,0.49997257140304335,-0.00021335178111780984
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI,0.5030098368474787,0.5030098368474787,0.0
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS,0.5020792354680994,0.5022385512707818,-0.00015931580268235823
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,0.5180665762672669,0.48987309921465527,0.02819347705261166
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY,0.49958955650422365,0.49958955650422365,0.0
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY,0.49958955650422365,0.49958955650422365,0.0
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,0.3922926628010412,0.39229381250271,-1.1497016688122308e-06
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION,0.4962632232116226,0.4975720764400506,-0.0013088532284279975
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1,0.4972525414976605,0.4970899408330673,0.00016260066459322653
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12,0.49745472474828106,0.4970899408330673,0.0003647839152137733
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION,0.49735190857046746,0.49731823873588005,3.366983458741313e-05
REACTOME_ADRENOCEPTORS,0.5029955476981658,0.5029955476981658,0.0
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING,0.4560731019739392,0.4581374734418914,-0.0020643714679521863
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION,0.4856568968303711,0.48565689683037105,5.551115123125783e-17
REACTOME_AGGREPHAGY,0.5450474465454421,0.536362764382111,0.008684682163331181
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL,,,
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS,0.4955412926851382,0.49553340901655185,7.883668586339265e-06
REACTOME_ALK_MUTANTS_BIND_TKIS,0.5052610348366177,0.5052610348366177,0.0
REACTOME_ALPHA_DEFENSINS,,,
REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM,0.49832439193921163,0.49832439193921163,0.0
REACTOME_ALPHA_OXIDATION_OF_PHYTANATE,0.49864483021862727,0.49862265740072814,2.2172817899124286e-05
REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY,0.5621173957089193,0.5521634429031872,0.00995395280573208
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,0.47631154681519494,0.4712380775936941,0.005073469221500815
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS,0.5029955476981658,0.5029955476981658,0.0
REACTOME_AMINO_ACIDS_REGULATE_MTORC1,0.5103878830641717,0.5085008120178643,0.0018870710463073648
REACTOME_AMINO_ACID_CONJUGATION,0.4997962564399718,0.4997962564399718,0.0
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE,0.4974367401293185,0.49778329306092634,-0.0003465529316078464
REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY,0.499389262049202,0.499389262049202,0.0
REACTOME_AMYLOID_FIBER_FORMATION,0.6521437173074117,0.6020753593310444,0.05006835797636733
REACTOME_ANCHORING_FIBRIL_FORMATION,0.4997969955339017,0.4997969955339017,0.0
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,0.4734515817924046,0.47913143652267154,-0.005679854730266942
REACTOME_ANDROGEN_BIOSYNTHESIS,0.4997953531029463,0.4997953531029463,0.0
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,0.469258127076854,0.46856929153412263,0.0006888355427313586
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.755974999572968,0.6616910863301129,0.09428391324285512
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.5216285984019804,0.5468672600441222,-0.025238661642141835
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.5309943966825522,0.5182662137499063,0.012728182932645882
REACTOME_ANTIMICROBIAL_PEPTIDES,0.5154172530145178,0.5039661422713113,0.011451110743206483
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,0.7800614958998353,0.8335776449379622,-0.05351614903812685
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,0.46712920807235103,0.47060360651558936,-0.0034743984432383246
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,0.5170177198590926,0.5337802059477024,-0.01676248608860975
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,0.5433398932025696,0.5358157527523858,0.007524140450183792
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,0.5204578736169089,0.5191404797475123,0.0013173938693965548
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,0.4966077231045361,0.5178253031599058,-0.021217580055369722
REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY,0.4991434722567133,0.4991434722567133,0.0
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV_1_INFECTION,0.5553675793327,0.5553675793327,0.0
REACTOME_APOPTOSIS,0.6133590242383391,0.5806799040031955,0.03267912023514363
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,0.476817826157224,0.48538638845200227,-0.00856856229477826
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,0.4974940609696649,0.518696530660244,-0.021202469690579095
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS,0.5142472673233763,0.5142472673233763,0.0
REACTOME_APOPTOTIC_EXECUTION_PHASE,0.4988543222869997,0.5003954152525335,-0.0015410929655337857
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE,0.5138330462364024,0.5138330462364024,0.0
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT,0.4862635287037803,0.48596887659036586,0.00029465211341445086
REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG,,,
REACTOME_ARACHIDONIC_ACID_METABOLISM,0.440759404231165,0.44058497806369223,0.00017442616747276318
REACTOME_ARMS_MEDIATED_ACTIVATION,0.4957135015708209,0.4957135015708209,0.0
REACTOME_ARYL_HYDROCARBON_RECEPTOR_SIGNALLING,0.5571140582892177,0.5571140582892177,0.0
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,0.5344700269490071,0.48054105289021865,0.05392897405878849
REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM,0.5011662902214916,0.5011588992821919,7.390939299689592e-06
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS,0.4879261615600204,0.487945213759104,-1.905219908360234e-05
REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES,0.49979584583223285,0.49979584583223285,0.0
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,0.5142749422849762,0.514265169820791,9.772464185209273e-06
REACTOME_ASSEMBLY_OF_THE_HIV_VIRION,0.5595357406115361,0.5481701183995626,0.011365622211973458
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,0.49366736108647463,0.49354861332839295,0.00011874775808168314
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS,0.4778084583880263,0.4767752050739291,0.0010332533140972044
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,0.534426420407139,0.5319070955645167,0.0025193248426222947
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,0.5741921374859243,0.5640483196617381,0.010143817824186274
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES,0.5262962229343803,0.5290017994473548,-0.002705576512974539
