,unit_auc,naive_auc,diff
REACTOME_2_LTR_CIRCLE_FORMATION,,,
REACTOME_ABACAVIR_METABOLISM,0.49713855678934976,0.49713855678934976,0.0
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,0.4985610662398974,0.4985773263063567,-1.6260066459328204e-05
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM,0.4959098541915494,0.4959272639596776,-1.7409768128195946e-05
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,0.5287105964389469,0.5245701922432585,0.004140404195688396
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,0.4962065593436583,0.4964842944182313,-0.0002777350745729601
REACTOME_ABC_TRANSPORTER_DISORDERS,0.543335705003633,0.5276542669699251,0.015681438033707917
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,0.49357719162701835,0.4933511931275433,0.00022599849947507744
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,0.4993560028223533,0.4993730841042904,-1.7081281937059156e-05
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,0.47248936361713234,0.47194062743490395,0.0005487361822283932
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,0.5001901935046456,0.5001980771732318,-7.883668586283754e-06
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,,,
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,0.4995885710456504,0.4995885710456504,0.0
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,0.49999786483975783,0.49999786483975783,0.0
REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,0.4506883099648256,0.45099462333802404,-0.0003063133731984191
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,0.5543701310134324,0.5438221109311007,0.010548020082331688
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5,,,
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,0.4882340352426265,0.4882340352426265,0.0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN,0.4813995515506519,0.4813995515506519,0.0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,0.49726141062482015,0.49726141062482015,0.0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS,0.4882340352426265,0.4882340352426265,0.0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,0.49726141062482015,0.49726141062482015,0.0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS,0.4882340352426265,0.4882340352426265,0.0
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,,,
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,0.5544720438542204,0.5494787252633474,0.0049933185908730415
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,0.4863423653896438,0.4878617782665653,-0.0015194128769214776
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,0.4611808980024099,0.47185883437332066,-0.010677936370910746
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,0.48451672126107165,0.48566740838848615,-0.001150687127414507
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,0.5050562236964683,0.5050562236964683,0.0
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,0.5484184539600324,0.5406050814185873,0.007813372541445096
REACTOME_ACTIVATION_OF_C3_AND_C5,0.47527287347894476,0.47527287347894476,0.0
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE,0.5138330462364024,0.5138330462364024,0.0
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,0.48891145589021734,0.48647638775561153,0.002435068134605811
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON,0.4616140070453718,0.4707943748710692,-0.009180367825697366
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING,0.497764487226486,0.4972967228903632,0.0004677643361227779
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,0.45515752883780275,0.45323095732701585,0.0019265715107869008
REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7,,,
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,0.4764574768055901,0.4734076467643454,0.0030498300412447055
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA,0.5510677772127816,0.5499307222622976,0.0011370549504839955
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,0.49936758196058956,0.49936758196058956,0.0
REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA,0.49059026669136885,0.49061917347618544,-2.890678481659581e-05
REACTOME_ACTIVATION_OF_RAC1,0.4977447780550201,0.4976780953582273,6.668269679277472e-05
REACTOME_ACTIVATION_OF_RAC1_DOWNSTREAM_OF_NMDARS,0.49796962685282636,0.49796962685282636,0.0
REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS,0.4882340352426265,0.4882340352426265,0.0
REACTOME_ACTIVATION_OF_SMO,0.49908073139421366,0.4990861514163668,-5.420022153146409e-06
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS,0.45368172250274946,0.4497566410053254,0.003925081497424043
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,0.3959277731132738,0.4051605344864513,-0.009232761373177467
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE,0.5004025598271898,0.5004030525564764,-4.927292865941624e-07
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,0.48145728299873725,0.4812992811408193,0.0001580018579179221
REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS,0.5004561851978866,0.5005672135304775,-0.00011102833259091227
REACTOME_ACTIVATION_OF_TRKA_RECEPTORS,,,
REACTOME_ACYL_CHAIN_REMODELING_OF_CL,,,
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG,,,
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC,0.5000665184536972,0.4999088450819705,0.0001576733717267298
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE,0.4993270960375368,0.4994814845473526,-0.00015438850981580599
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG,0.4997588911357344,0.49997257140304335,-0.00021368026730894663
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI,0.5030098368474787,0.5030098368474787,0.0
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS,0.5020667529928378,0.5022385512707818,-0.00017179827794400193
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,0.5254839587053439,0.48987309921465527,0.03561085949068865
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY,0.49958955650422365,0.49958955650422365,0.0
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY,0.49958955650422365,0.49958955650422365,0.0
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,0.3914418835660986,0.39229381250271,-0.0008519289366114013
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION,0.496134949353999,0.4975720764400506,-0.0014371270860515928
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1,0.49727422158627294,0.4970899408330673,0.00018428075320564563
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12,0.49765789345747485,0.4970899408330673,0.0005679526244075639
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION,0.4975396384286797,0.49731823873588005,0.00022139969279966198
REACTOME_ADRENOCEPTORS,0.5029955476981658,0.5029955476981658,0.0
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING,0.4562380020418701,0.4581374734418914,-0.0018994714000212798
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION,0.4856071311724198,0.48565689683037105,-4.976565795122845e-05
REACTOME_AGGREPHAGY,0.5539791503244786,0.536362764382111,0.017616385942367696
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL,,,
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS,0.4955412926851382,0.49553340901655185,7.883668586339265e-06
REACTOME_ALK_MUTANTS_BIND_TKIS,0.5052610348366177,0.5052610348366177,0.0
REACTOME_ALPHA_DEFENSINS,,,
REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM,0.49832439193921163,0.49832439193921163,0.0
REACTOME_ALPHA_OXIDATION_OF_PHYTANATE,0.49852279759863455,0.49862265740072814,-9.985980209359369e-05
REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY,0.5637397890067497,0.5521634429031872,0.011576346103562507
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,0.477767069127948,0.4712380775936941,0.006528991534253847
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS,0.5029955476981658,0.5029955476981658,0.0
REACTOME_AMINO_ACIDS_REGULATE_MTORC1,0.5112521302329492,0.5085008120178643,0.002751318215084897
REACTOME_AMINO_ACID_CONJUGATION,0.4997962564399718,0.4997962564399718,0.0
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE,0.49742048006285916,0.49778329306092634,-0.0003628129980671746
REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY,0.499389262049202,0.499389262049202,0.0
REACTOME_AMYLOID_FIBER_FORMATION,0.6218825018033891,0.6020753593310444,0.01980714247234472
REACTOME_ANCHORING_FIBRIL_FORMATION,0.4997969955339017,0.4997969955339017,0.0
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,0.47274008070248746,0.47913143652267154,-0.006391355820184075
REACTOME_ANDROGEN_BIOSYNTHESIS,0.4997953531029463,0.4997953531029463,0.0
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,0.4699775118353575,0.46856929153412263,0.001408220301234886
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.7447577709978228,0.6616910863301129,0.08306668466770994
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.5130851653008212,0.5468672600441222,-0.03378209474330107
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.5826867082661579,0.5182662137499063,0.06442049451625154
REACTOME_ANTIMICROBIAL_PEPTIDES,0.49821081783863974,0.5039661422713113,-0.005755324432671571
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,0.8568725716658323,0.8335776449379622,0.023294926727870147
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,0.46575235820236593,0.47060360651558936,-0.004851248313223422
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,0.5179161295917443,0.5337802059477024,-0.0158640763559581
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,0.545784158950526,0.5358157527523858,0.009968406198140212
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,0.5234624546853299,0.5191404797475123,0.0043219749378176076
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,0.5045022317351824,0.5178253031599058,-0.013323071424723443
REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY,0.49915513351649726,0.4991434722567133,1.1661259783968259e-05
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV_1_INFECTION,0.5553675793327,0.5553675793327,0.0
REACTOME_APOPTOSIS,0.6735776055196192,0.5806799040031955,0.09289770151642374
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,0.47615986831645574,0.48538638845200227,-0.009226520135546534
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,0.494918564988365,0.518696530660244,-0.02377796567187901
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS,0.5142372484945479,0.5142472673233763,-1.0018828828450843e-05
REACTOME_APOPTOTIC_EXECUTION_PHASE,0.4871290076957744,0.5003954152525335,-0.013266407556759119
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE,0.5138330462364024,0.5138330462364024,0.0
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT,0.48635796848372087,0.48596887659036586,0.00038909189335500916
REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG,,,
REACTOME_ARACHIDONIC_ACID_METABOLISM,0.4353475942328337,0.44058497806369223,-0.005237383830858533
REACTOME_ARMS_MEDIATED_ACTIVATION,0.4957135015708209,0.4957135015708209,0.0
REACTOME_ARYL_HYDROCARBON_RECEPTOR_SIGNALLING,0.5571140582892177,0.5571140582892177,0.0
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,0.5588933037432973,0.48054105289021865,0.07835225085307862
REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM,0.5011966751941682,0.5011588992821919,3.777591197628993e-05
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS,0.4872414320946776,0.487945213759104,-0.0007037816644264172
REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES,0.49979584583223285,0.49979584583223285,0.0
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,0.5154081375227147,0.514265169820791,0.0011429677019237916
REACTOME_ASSEMBLY_OF_THE_HIV_VIRION,0.5602065094137572,0.5481701183995626,0.012036391014194514
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,0.49377379061239024,0.49354861332839295,0.00022517728399729098
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS,0.4775854162642711,0.4767752050739291,0.0008102111903419695
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,0.5409460500849466,0.5319070955645167,0.00903895452042991
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,0.5878226719855152,0.5640483196617381,0.023774352323777115
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES,0.526202768613013,0.5290017994473548,-0.0027990308343418535
