,unit_auc,naive_auc,diff
REACTOME_2_LTR_CIRCLE_FORMATION,,,
REACTOME_ABACAVIR_METABOLISM,0.49713855678934976,0.49713855678934976,0.0
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,0.4985610662398974,0.4985773263063567,-1.6260066459328204e-05
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM,0.49998554660759165,0.4959272639596776,0.004058282647914024
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,0.4570478026244733,0.5245701922432585,-0.0675223896187852
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,0.4954380658995857,0.4964842944182313,-0.0010462285186455533
REACTOME_ABC_TRANSPORTER_DISORDERS,0.5422569563520688,0.5276542669699251,0.014602689382143708
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,0.5105789799058427,0.4933511931275433,0.017227786778299392
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,0.4992375835504626,0.4993730841042904,-0.00013550055382777204
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,0.5257414097576166,0.47194062743490395,0.05380078232271268
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,0.5001901935046456,0.5001980771732318,-7.883668586283754e-06
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,,,
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,0.5000054200221531,0.4995885710456504,0.0004168489765026817
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,0.5000021351602421,0.49999786483975783,4.270320484223156e-06
REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,0.549005705148167,0.45099462333802404,0.09801108181014301
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,0.4942673411145142,0.5438221109311007,-0.049554769816586464
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5,,,
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,0.5117659647573736,0.4882340352426265,0.023531929514747085
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN,0.5186004484493479,0.4813995515506519,0.037200896898696045
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,0.49726141062482015,0.49726141062482015,0.0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS,0.5117659647573736,0.4882340352426265,0.023531929514747085
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,0.5027385893751799,0.49726141062482015,0.005477178750359746
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS,0.5117659647573736,0.4882340352426265,0.023531929514747085
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,,,
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,0.4667061178582176,0.5494787252633474,-0.08277260740512982
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,0.4742765748613459,0.4878617782665653,-0.013585203405219404
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,0.48291699351042683,0.47185883437332066,0.011058159137106172
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,0.5004450166673893,0.48566740838848615,0.01477760827890312
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,0.49494377630353176,0.5050562236964683,-0.010112447392936541
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,0.5568482308390722,0.5406050814185873,0.01624314942048488
REACTOME_ACTIVATION_OF_C3_AND_C5,0.475272791357397,0.47527287347894476,-8.212154778419745e-08
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE,0.5138330462364024,0.5138330462364024,0.0
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,0.5075983783293718,0.48647638775561153,0.021121990573760296
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON,0.5693550140789182,0.4707943748710692,0.09856063920784902
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING,0.510191612564991,0.4972967228903632,0.012894889674627819
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,0.5394640025122625,0.45323095732701585,0.0862330451852466
REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7,,,
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,0.48907200351611624,0.4734076467643454,0.015664356751770858
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA,0.4435368370984421,0.5499307222622976,-0.10639388516385545
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,0.49936758196058956,0.49936758196058956,0.0
REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA,0.5092228246658966,0.49061917347618544,0.01860365118971119
REACTOME_ACTIVATION_OF_RAC1,0.4977280252592742,0.4976780953582273,4.9929901046852354e-05
REACTOME_ACTIVATION_OF_RAC1_DOWNSTREAM_OF_NMDARS,0.49796962685282636,0.49796962685282636,0.0
REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS,0.5117659647573736,0.4882340352426265,0.023531929514747085
REACTOME_ACTIVATION_OF_SMO,0.5005080038945322,0.4990861514163668,0.0014218524781653974
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS,0.5126207679481569,0.4497566410053254,0.0628641269428315
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,0.4935648733948522,0.4051605344864513,0.08840433890840094
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE,0.49999852181214005,0.5004030525564764,-0.00040453074433638436
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,0.5140194621498502,0.4812992811408193,0.032720181009030846
REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS,0.5185644792114228,0.5005672135304775,0.017997265680945285
REACTOME_ACTIVATION_OF_TRKA_RECEPTORS,,,
REACTOME_ACYL_CHAIN_REMODELING_OF_CL,,,
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG,,,
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC,0.500116448354744,0.4999088450819705,0.00020760327277352664
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE,0.49330430172376416,0.4994814845473526,-0.006177182823588423
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG,0.5071005575067635,0.49997257140304335,0.007127986103720174
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI,0.49699016315252137,0.5030098368474787,-0.006019673694957317
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS,0.5020800566835771,0.5022385512707818,-0.00015849458720462728
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,0.580792164159003,0.48987309921465527,0.09091906494434776
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY,0.5004104434957763,0.49958955650422365,0.000820886991552694
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY,0.49958955650422365,0.49958955650422365,0.0
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,0.3920416993510427,0.39229381250271,-0.0002521131516672881
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION,0.5100205533809768,0.4975720764400506,0.012448476940926267
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1,0.4975872689263888,0.4970899408330673,0.0004973280933215363
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12,0.4969358808094425,0.4970899408330673,-0.00015406002362478022
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION,0.4934432513825984,0.49731823873588005,-0.0038749873532816226
REACTOME_ADRENOCEPTORS,0.5029955476981658,0.5029955476981658,0.0
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING,0.4696753866610955,0.4581374734418914,0.01153791321920411
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION,0.4856086093602798,0.48565689683037105,-4.828747009127943e-05
REACTOME_AGGREPHAGY,0.5712413460312955,0.536362764382111,0.03487858164918456
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL,,,
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS,0.5044587073148619,0.49553340901655185,0.008925298298310014
REACTOME_ALK_MUTANTS_BIND_TKIS,0.5052610348366177,0.5052610348366177,0.0
REACTOME_ALPHA_DEFENSINS,,,
REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM,0.49832439193921163,0.49832439193921163,0.0
REACTOME_ALPHA_OXIDATION_OF_PHYTANATE,0.5013596043449525,0.49862265740072814,0.0027369469442243832
REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY,0.441034922023948,0.5521634429031872,-0.11112852087923919
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,0.4431107905085886,0.4712380775936941,-0.028127287085105535
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS,0.4970044523018341,0.5029955476981658,-0.0059910953963316915
REACTOME_AMINO_ACIDS_REGULATE_MTORC1,0.4862356894990848,0.5085008120178643,-0.022265122518779545
REACTOME_AMINO_ACID_CONJUGATION,0.5002037435600282,0.4997962564399718,0.0004074871200563934
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE,0.4975155768151818,0.49778329306092634,-0.00026771624574450925
REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY,0.500610737950798,0.499389262049202,0.0012214759015960475
REACTOME_AMYLOID_FIBER_FORMATION,0.46026023333031124,0.6020753593310444,-0.14181512600073315
REACTOME_ANCHORING_FIBRIL_FORMATION,0.4997969955339017,0.4997969955339017,0.0
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,0.4977206343199745,0.47913143652267154,0.018589197797302948
REACTOME_ANDROGEN_BIOSYNTHESIS,0.4997953531029463,0.4997953531029463,0.0
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,0.46097501928213935,0.46856929153412263,-0.007594272251983281
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.6950757949037338,0.6616910863301129,0.03338470857362097
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.6081186840317607,0.5468672600441222,0.0612514239876385
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.5090667937251254,0.5182662137499063,-0.009199420024780913
REACTOME_ANTIMICROBIAL_PEPTIDES,0.5616892139588237,0.5039661422713113,0.05772307168751234
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,0.9071004918095255,0.8335776449379622,0.0735228468715633
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,0.48093507207644004,0.47060360651558936,0.010331465560850683
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,0.5426208369302571,0.5337802059477024,0.00884063098255472
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,0.5489898556894465,0.5358157527523858,0.013174102937060672
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,0.5343768189922833,0.5191404797475123,0.015236339244770969
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,0.5253082185931068,0.5178253031599058,0.0074829154332010095
REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY,0.5008565277432867,0.4991434722567133,0.0017130554865734116
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV_1_INFECTION,0.44463242066730013,0.5553675793327,-0.11073515866539985
REACTOME_APOPTOSIS,0.5040136906474726,0.5806799040031955,-0.07666621335572288
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,0.47466164279886003,0.48538638845200227,-0.010724745653142242
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,0.47944489447052624,0.518696530660244,-0.039251636189717776
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS,0.4865617941652968,0.5142472673233763,-0.02768547315807951
REACTOME_APOPTOTIC_EXECUTION_PHASE,0.5260106041912209,0.5003954152525335,0.025615188938687417
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE,0.4861669537635977,0.5138330462364024,-0.02766609247280466
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT,0.49061285011700684,0.48596887659036586,0.0046439735266409765
REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG,,,
REACTOME_ARACHIDONIC_ACID_METABOLISM,0.5015548072640121,0.44058497806369223,0.0609698292003199
REACTOME_ARMS_MEDIATED_ACTIVATION,0.4957135015708209,0.4957135015708209,0.0
REACTOME_ARYL_HYDROCARBON_RECEPTOR_SIGNALLING,0.5571140582892177,0.5571140582892177,0.0
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,0.42403715770096456,0.48054105289021865,-0.05650389518925408
REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM,0.5011997958129836,0.5011588992821919,4.089653079164535e-05
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS,0.48366191807028813,0.487945213759104,-0.004283295688815858
REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES,0.49979576371068507,0.49979584583223285,-8.212154778419745e-08
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,0.4592261588007364,0.514265169820791,-0.05503901102005454
REACTOME_ASSEMBLY_OF_THE_HIV_VIRION,0.459898159426174,0.5481701183995626,-0.08827195897338863
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,0.49596791412582597,0.49354861332839295,0.0024193007974330216
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS,0.5101019358348214,0.4767752050739291,0.03332673076089232
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,0.5051641314102437,0.5319070955645167,-0.026742964154272908
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,0.5494226362462175,0.5640483196617381,-0.014625683415520618
