pathway,n_genes,n_tested,median_member,median_reference,effect,pvalue,qvalue,sign
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,18,18,1.00737726688385,0.0,1.00737726688385,6.023143288722164e-08,5.0775097923927845e-05,1
REACTOME_INTERFERON_SIGNALING,49,49,0.008140923455357552,0.0,0.008140923455357552,2.268828730089863e-05,0.009563113097328773,1
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,6,6,-0.23992133140563965,0.0,-0.23992133140563965,0.0012844043310525357,0.10623283575295585,-1
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,8,8,-0.07268641516566277,0.0,-0.07268641516566277,0.0011694406689869014,0.10623283575295585,-1
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION,6,6,-0.05973338894546032,0.0,-0.05973338894546032,0.001204750013249709,0.10623283575295585,-1
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,9,9,-0.05589713901281357,0.0,-0.05589713901281357,0.0009032079727432313,0.10623283575295585,-1
REACTOME_REGULATION_OF_TP53_EXPRESSION_AND_DEGRADATION,6,6,0.05375343747437,0.0,0.05375343747437,0.0010623931439665566,0.10623283575295585,1
REACTOME_MRNA_EDITING,5,5,0.04894116893410683,0.0,0.04894116893410683,0.001512211185095457,0.10623283575295585,1
REACTOME_NEGATIVE_REGULATION_OF_FLT3,6,6,0.03511279076337814,0.0,0.03511279076337814,0.0014011392176942672,0.10623283575295585,1
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION,10,10,-0.020248696208000183,0.0,-0.020248696208000183,0.001031049380270173,0.10623283575295585,-1
REACTOME_MRNA_SPLICING,44,44,-0.01900149043649435,0.0,-0.01900149043649435,0.0014773259016903466,0.10623283575295585,-1
REACTOME_RRNA_PROCESSING,40,40,-0.014309922233223915,0.0,-0.014309922233223915,0.0010094130326183928,0.10623283575295585,-1
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,6,6,-0.03047262877225876,0.0,-0.03047262877225876,0.0020765853538318568,0.1346585733292504,-1
REACTOME_SIGNALING_BY_KIT_IN_DISEASE,6,6,-0.08014489710330963,0.0,-0.08014489710330963,0.0023730582771699102,0.14289200911815958,-1
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,14,14,-0.040863242000341415,0.0,-0.040863242000341415,0.002917876779203137,0.1446923602863673,-1
REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES,33,33,0.009710684418678284,0.0,0.009710684418678284,0.0026093559631772695,0.1446923602863673,1
REACTOME_METABOLISM_OF_RNA,150,150,-0.009533334523439407,0.0,-0.009533334523439407,0.002829786721308293,0.1446923602863673,-1
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION,19,19,-0.021704986691474915,0.0,-0.021704986691474915,0.0031003709863997395,0.14520070786305447,-1
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,5,5,-0.07662726938724518,0.0,-0.07662726938724518,0.003626518629667358,0.16090290551629383,-1
REACTOME_DAP12_INTERACTIONS,13,13,-0.07698503136634827,0.0,-0.07698503136634827,0.004400856599830345,0.16863282334804458,-1
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,32,32,-0.01931875105947256,0.0,-0.01931875105947256,0.004242410213685199,0.16863282334804458,-1
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,56,56,-0.015171314124017954,0.0,-0.015171314124017954,0.004127791520683825,0.16863282334804458,-1
REACTOME_REGULATED_NECROSIS,15,15,0.05467668175697327,0.0,0.05467668175697327,0.004678323423258306,0.17147072373072833,1
REACTOME_SIGNALING_BY_SCF_KIT,11,11,-0.028476227074861526,0.0,-0.028476227074861526,0.005121435638437847,0.1726948097281242,-1
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,24,24,0.0050927624106407166,0.0,0.0050927624106407166,0.00497128696559693,0.1726948097281242,1
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,5,5,-0.16453242301940918,0.0,-0.16453242301940918,0.006048078301415671,0.17581137958942794,-1
