gene,proba_de,bf,lfc_mean,lfc_std,proba_up,detection_rate
LY6E,0.99978,8.421662987408371,3.76825017578125,1.2352500804137097,0.99102,1.0
IFIT3,0.99956,7.728295734223573,5.750801015625,1.2296844833885088,0.99338,1.0
ISG15,0.9995,7.60040233450051,5.35491740234375,1.4034457055586687,0.99238,1.0
IFI6,0.99944,7.487013617376507,4.26351693359375,1.187242306548814,0.99182,1.0
IFIT1,0.99938,7.385170887645732,6.23373861328125,1.1993075846238785,0.99364,1.0
IFIT2,0.99938,7.385170887645732,5.65483951171875,1.284846757576345,0.9934,1.0
ISG20,0.99934,7.322610505047932,3.516168447265625,1.3927814029456111,0.99076,1.0
RSAD2,0.99908,6.990216464461412,5.5978121484375,1.5057800130432546,0.99326,1.0
TNFSF10,0.9985,6.500789044747742,4.515656640625,1.6488554110289164,0.9914,1.0
MNDA,0.99118,4.7218742825301065,2.4995888671875,3.507021587744693,0.7478,1.0
CXCL10,0.9893,4.526753880861312,6.04305091796875,3.2268810855587864,0.97754,1.0
CXCL11,0.98898,4.496962305246549,6.7200241015625,3.7088150456943945,0.97918,1.0
IFITM3,0.98364,4.096420645278336,3.86605453125,2.1012010000595716,0.97208,1.0
CD38,0.98316,4.067014865127545,4.02817724609375,2.4073829045360795,0.94898,1.0
OASL,0.9829,4.05142892206397,2.960829140625,1.5873044230001452,0.96998,1.0
IFI27,0.9827,4.039597383864649,3.582427568359375,1.8639266931558047,0.97904,1.0
CH25H,0.98252,4.029063329542935,5.04991044921875,3.1286035975329773,0.93864,1.0
APOBEC3A,0.98238,4.0209435783714245,3.91479724609375,3.909920218588455,0.80618,1.0
DEFB1,0.97778,3.784291911643284,4.94176669921875,4.605107322635664,0.82426,1.0
CLEC5A,0.97206,3.5493581771215674,-4.39438849609375,4.063287796126298,0.15372,1.0
APOBEC3B,0.97078,3.5032464657519578,4.70554775390625,3.5177487285134292,0.91344,1.0
IDO1,0.97036,3.4885423362369656,3.897008720703125,3.5482058823987077,0.85514,1.0
PRR5,0.96984,3.4706145662985737,3.472136181640625,2.8642341540570766,0.88036,1.0
GBP5,0.9698,3.469247940290428,2.293467763671875,1.528758774442661,0.95164,1.0
CCL2,0.96908,3.4449439441032372,2.0556921337890626,3.9227364999388845,0.76166,1.0
KRT2,0.96846,3.4244505994783503,-2.2599330810546876,5.528159953289582,0.31442,1.0
LAG3,0.96798,3.408850718337537,4.063341669921875,3.3790861405639707,0.8837,1.0
ZNF704,0.96762,3.3972984999709914,-4.039043974609375,3.787932218232225,0.1567,1.0
CD14,0.9673,3.3871336072852953,-2.446354541015625,3.929258240307861,0.2456,1.0
ARHGEF35,0.96676,3.370196304382527,-3.669982568359375,3.068999222741564,0.10484,1.0
CCL7,0.96618,3.352297808787527,2.453358212890625,3.879262842086383,0.77208,1.0
