,lfc_mean,proba_de
AASDHPPT,0.012557201,0.012557201
AASS,0.0017841242,0.0017841242
ABCA2,0.0,0.0
ABCA3,0.0018262964,0.0018262964
ABCA5,0.002048295,0.002048295
ABCA7,0.003597522,0.003597522
ABCB1,-0.015238375,0.015238375
ABCB4,0.005581597,0.005581597
ABCB6,0.0019877201,0.0019877201
ABCC5,-0.003519318,0.003519318
ABCD4,-0.007572476,0.007572476
ABCE1,0.02772116,0.02772116
ABCG1,-0.018598713,0.018598713
ABCG2,0.0032432058,0.0032432058
ABHD14B,-0.011477508,0.011477508
ABHD17A,-0.01713401,0.01713401
ABHD17B,-0.0004980583,0.0004980583
ABHD3,0.04087717,0.04087717
ABHD4,0.001746715,0.001746715
ABHD5,-0.014495537,0.014495537
ABI1,0.003322959,0.003322959
ABLIM1,-0.05465948,0.05465948
ABLIM3,0.0,0.0
ACACA,-0.009512902,0.009512902
ACACB,0.0023077612,0.0023077612
ACAD8,-0.011157593,0.011157593
ACAD9,-0.0029852185,0.0029852185
ACADM,-0.0017604381,0.0017604381
ACAT2,-0.031015255,0.031015255
ACBD4,-0.0044488395,0.0044488395
ACD,0.01052038,0.01052038
ACHE,-0.0016309599,0.0016309599
ACKR3,0.0,0.0
ACOT4,-0.009016105,0.009016105
ACOXL,0.0,0.0
ACP5,-0.052317068,0.052317068
ACSF2,-0.0055753216,0.0055753216
ACSL6,-0.009222888,0.009222888
ACSM1,0.0020725147,0.0020725147
ACSM3,0.007794882,0.007794882
ACSS1,0.004416596,0.004416596
ACTA2,0.03993678,0.03993678
ACTB,-0.47997117,0.47997117
ACTL6A,0.013036065,0.013036065
ACTR1A,-0.017928824,0.017928824
ACTR1B,-0.0012543388,0.0012543388
ACTR5,-0.015419963,0.015419963
ADA,-0.0051195025,0.0051195025
ADAL,-0.011107799,0.011107799
ADAM12,-0.0017358807,0.0017358807
ADAM21,0.0,0.0
ADAM8,-0.0873678,0.0873678
ADAMTS10,-0.005334876,0.005334876
ADAMTS17,0.0,0.0
ADAMTSL5,-0.0022758883,0.0022758883
ADARB1,-0.00088822003,0.00088822003
ADAT1,-0.0016848007,0.0016848007
ADAT2,-0.00827582,0.00827582
ADCY1,0.0,0.0
ADD1,0.019386537,0.019386537
ADHFE1,-0.0017966616,0.0017966616
ADK,0.018035993,0.018035993
ADM2,-0.00047469023,0.00047469023
ADO,0.0052355584,0.0052355584
ADORA3,-0.0039648786,0.0039648786
ADPRM,0.023650307,0.023650307
ADRB2,0.02045427,0.02045427
AFMID,-0.0029588172,0.0029588172
AGAP2,-0.006311366,0.006311366
AGBL3,-0.0019117357,0.0019117357
AGGF1,0.003739249,0.003739249
AGK,-0.005673404,0.005673404
AGL,0.0019332096,0.0019332096
AGMAT,-0.000752144,0.000752144
AGO2,-0.014527939,0.014527939
AGPAT4,-0.008770286,0.008770286
AGPAT5,-0.009670451,0.009670451
AGPS,-0.015143201,0.015143201
AHI1,-0.028937936,0.028937936
AK1,-0.020027902,0.020027902
AK3,0.01731611,0.01731611
AK9,0.00010975171,0.00010975171
AKAP12,-0.004158621,0.004158621
AKAP5,0.002430607,0.002430607
AKR1C3,0.0012652948,0.0012652948
AKR7A2,-0.081216946,0.081216946
ALAS2,0.0042206217,0.0042206217
ALDH6A1,-0.010372214,0.010372214
ALDH8A1,0.0,0.0
ALDH9A1,-0.03650301,0.03650301
ALDOC,-0.015503242,0.015503242
ALG1,-0.00094521977,0.00094521977
ALG10B,-0.001794714,0.001794714
ALG12,-0.005646469,0.005646469
ALG14,0.0062505193,0.0062505193
ALG3,-0.010501593,0.010501593
ALG8,-0.010205161,0.010205161
ALKBH2,-0.008641981,0.008641981
ALMS1,0.0018055588,0.0018055588
ALOX12,0.0,0.0
ALOX5AP,0.07277799,0.07277799
