pathway,n_genes,n_tested,median_member,median_reference,effect,pvalue,qvalue,sign
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,18,18,3.2354633074951176,-0.008396109619140613,3.2438594171142583,5.2361652637374155e-09,4.414087317330641e-06,1
REACTOME_INTERFERON_SIGNALING,49,49,0.45075162704467775,-0.010161538085937533,0.4609131651306153,1.0106172679124762e-05,0.004259751784251088,1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,191,191,0.2026180891418457,-0.021292445678710942,0.22391053482055664,0.0005520932881937599,0.15513821398244654,1
REACTOME_INTERFERON_GAMMA_SIGNALING,24,24,0.5569859503173828,-0.0059469860839843625,0.5629329364013672,0.0017938265645039359,0.3780489484692045,1
REACTOME_REGULATED_NECROSIS,15,15,0.8743900677490235,-0.005751089477539051,0.8801411572265625,0.0027375228423673053,0.3846219593526064,1
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,15,15,-0.6607471881103515,0.0033352178955078082,-0.6640824060058593,0.0026254673047304347,0.3846219593526064,-1
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,56,56,0.29076854069113733,-0.008396109619140613,0.29916465031027795,0.0032604193528622157,0.392647644923264,1
REACTOME_REGULATION_BY_C_FLIP,6,6,1.2599028533935548,-0.003408714599609397,1.2633115679931641,0.00404728543762674,0.3996342943879547,1
REACTOME_HSF1_ACTIVATION,15,15,0.44703623123168945,-0.005751089477539051,0.4527873207092285,0.00426655830307425,0.3996342943879547,1
REACTOME_RIPK1_MEDIATED_REGULATED_NECROSIS,11,11,0.45075162704467775,-0.004798262329101577,0.4555498893737793,0.005382103118477992,0.45371129288769474,1
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4,7,7,-0.8700935382080077,0.0015823712158203052,-0.871675909423828,0.006447662691791106,0.4909468627944888,-1
REACTOME_NEDDYLATION,45,45,-0.22725025451660158,0.0036550018310546883,-0.23090525634765627,0.006988567441914431,0.4909468627944888,-1
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,7,7,1.067549811401367,-0.00290335662841798,1.070453168029785,0.008673409544616399,0.5358794303200097,1
REACTOME_ATTENUATION_PHASE,14,14,0.382640974252224,-0.005555192871093739,0.3881961671233177,0.008899539768066591,0.5358794303200097,1
