,lfc_mean,proba_de
AASDHPPT,0.000503473,0.000503473
AASS,0.0008660797,0.0008660797
ABCA2,-0.0010397471,0.0010397471
ABCA3,0.0020326735,0.0020326735
ABCA5,0.0020220997,0.0020220997
ABCA7,-3.5380013e-05,3.5380013e-05
ABCB1,-0.009482462,0.009482462
ABCB4,0.0013915608,0.0013915608
ABCB6,0.0009649127,0.0009649127
ABCC5,-0.007152268,0.007152268
ABCD4,-0.013803456,0.013803456
ABCE1,0.0049681887,0.0049681887
ABCG1,-0.030588113,0.030588113
ABCG2,0.003977861,0.003977861
ABHD14B,-0.024773449,0.024773449
ABHD17A,-0.025516734,0.025516734
ABHD17B,0.00076624006,0.00076624006
ABHD3,0.026231512,0.026231512
ABHD4,-0.0018303948,0.0018303948
ABHD5,-0.012547974,0.012547974
ABI1,0.020021886,0.020021886
ABLIM1,-0.029745467,0.029745467
ABLIM3,0.0,0.0
ACACA,-0.0085933115,0.0085933115
ACACB,0.0011202724,0.0011202724
ACAD8,-0.0023321398,0.0023321398
ACAD9,-0.0060986616,0.0060986616
ACADM,-0.009467706,0.009467706
ACAT2,-0.012805633,0.012805633
ACBD4,-0.00087811425,0.00087811425
ACD,-0.010884777,0.010884777
ACHE,-0.00024466554,0.00024466554
ACKR3,0.0010168753,0.0010168753
ACOT4,-0.0072768265,0.0072768265
ACOXL,0.0,0.0
ACP5,-0.036371067,0.036371067
ACSF2,-0.0027323011,0.0027323011
ACSL6,-0.008953801,0.008953801
ACSM1,-0.0012841228,0.0012841228
ACSM3,0.0047382754,0.0047382754
ACSS1,-0.01143823,0.01143823
ACTA2,0.037427496,0.037427496
ACTB,-0.4979291,0.4979291
ACTL6A,0.006588377,0.006588377
ACTR1A,-0.011540614,0.011540614
ACTR1B,-0.009617314,0.009617314
ACTR5,-0.008642214,0.008642214
ADA,-0.024753511,0.024753511
ADAL,-0.011958972,0.011958972
ADAM12,-0.0008929602,0.0008929602
ADAM21,0.0,0.0
ADAM8,-0.070216715,0.070216715
ADAMTS10,-0.0013982909,0.0013982909
ADAMTS17,0.0,0.0
ADAMTSL5,-0.0011707473,0.0011707473
ADARB1,3.663171e-05,3.663171e-05
ADAT1,0.0027185194,0.0027185194
ADAT2,-0.0019131061,0.0019131061
ADCY1,0.0,0.0
ADD1,0.011645034,0.011645034
ADHFE1,0.00022189523,0.00022189523
ADK,0.018368952,0.018368952
ADM2,-0.00027763646,0.00027763646
ADO,-0.0020726789,0.0020726789
ADORA3,-0.0029904745,0.0029904745
ADPRM,0.014232427,0.014232427
ADRB2,0.011425596,0.011425596
AFMID,-0.00083778496,0.00083778496
AGAP2,-0.0027750856,0.0027750856
AGBL3,-0.0005456088,0.0005456088
AGGF1,-0.0077182837,0.0077182837
AGK,0.0025534239,0.0025534239
AGL,-0.0026053293,0.0026053293
AGMAT,-0.0018241899,0.0018241899
AGO2,-0.011821031,0.011821031
AGPAT4,-0.0045566307,0.0045566307
AGPAT5,-0.0023487099,0.0023487099
AGPS,-0.020866975,0.020866975
AHI1,-0.013962019,0.013962019
AK1,-0.011763033,0.011763033
AK3,0.012953529,0.012953529
AK9,-0.0049766945,0.0049766945
AKAP12,-0.0029259154,0.0029259154
AKAP5,-0.003410264,0.003410264
AKR1C3,-0.005526416,0.005526416
AKR7A2,-0.050631553,0.050631553
ALAS2,-0.0043021776,0.0043021776
ALDH6A1,-0.008861588,0.008861588
ALDH8A1,-0.000890078,0.000890078
ALDH9A1,-0.019111842,0.019111842
ALDOC,-0.011552464,0.011552464
ALG1,0.0042596105,0.0042596105
ALG10B,0.00052251574,0.00052251574
ALG12,-0.0043335827,0.0043335827
ALG14,0.0013553672,0.0013553672
ALG3,-0.02057378,0.02057378
ALG8,-0.002680827,0.002680827
ALKBH2,-0.0001240056,0.0001240056
ALMS1,-0.0037419004,0.0037419004
ALOX12,0.0009967969,0.0009967969
ALOX5AP,0.04227376,0.04227376
ALS2CL,-0.0018465454,0.0018465454
AMFR,-0.0035670288,0.0035670288
AMPH,-0.00037709903,0.00037709903
AMT,0.002740002,0.002740002
AMY2B,-0.0017108165,0.0017108165
ANAPC1,-0.0005640313,0.0005640313
ANAPC10,0.0055201277,0.0055201277
ANAPC5,-0.021816015,0.021816015
ANGPT2,-0.004553439,0.004553439
ANKH,-0.05082681,0.05082681
ANKRD26,-0.0104508605,0.0104508605
ANLN,0.0011547531,0.0011547531
ANO9,-0.0034825695,0.0034825695
ANXA1,0.30610514,0.30610514
ANXA5,-0.018563032,0.018563032
AP3B1,0.017430622,0.017430622
AP3M1,-0.006701246,0.006701246
AP4B1,0.0028975755,0.0028975755
APBB1,-0.023486827,0.023486827
APEH,-0.024216853,0.024216853
APOA1,-0.0011142709,0.0011142709
APOBEC3A,1.1209166,1.1209166
APOBEC3B,0.34892377,0.34892377
APOBEC3C,0.02733758,0.02733758
APOBEC3G,0.24654037,0.24654037
APOBEC3H,0.016497761,0.016497761
APOD,0.0,0.0
APOE,-0.0013590574,0.0013590574
APOM,-0.001745336,0.001745336
APOO,0.023173824,0.023173824
APP,0.0075044595,0.0075044595
APPL1,0.02815158,0.02815158
AQP10,0.0024392963,0.0024392963
AQP11,0.0035539183,0.0035539183
AQP3,-0.048231784,0.048231784
ARAP2,0.050017208,0.050017208
ARC,0.0,0.0
AREG,-0.0019669607,0.0019669607
ARFRP1,-0.015961654,0.015961654
ARHGAP11A,-0.0019847066,0.0019847066
ARHGAP12,-0.0023953682,0.0023953682
ARHGAP24,-0.015827365,0.015827365
ARHGAP6,0.0032280253,0.0032280253
ARHGEF1,-0.105513975,0.105513975
ARHGEF10,0.00071997463,0.00071997463
ARHGEF12,-0.0019260042,0.0019260042
ARHGEF18,0.0022667488,0.0022667488
ARHGEF19,-0.0053503234,0.0053503234
ARHGEF26,-0.0017796848,0.0017796848
ARHGEF28,-0.0012104369,0.0012104369
ARHGEF35,-0.00016057136,0.00016057136
ARHGEF4,-0.0009616011,0.0009616011
ARHGEF40,-0.0018738685,0.0018738685
ARHGEF7,-0.006668914,0.006668914
ARHGEF9,-0.021278195,0.021278195
ARID4A,-0.005439304,0.005439304
ARID4B,0.040072888,0.040072888
ARID5B,0.028507665,0.028507665
ARL1,-0.009189501,0.009189501
ARSD,0.00041439384,0.00041439384
ARSG,0.021194853,0.021194853
ARV1,-0.00024121627,0.00024121627
ASB8,-0.002687499,0.002687499
ASCC1,0.0006942749,0.0006942749
ASNS,0.0088583175,0.0088583175
ASPSCR1,-0.0032371227,0.0032371227
ASXL2,-0.005481519,0.005481519
ATF1,0.003726162,0.003726162
ATF2,0.010247689,0.010247689
ATF6,-0.010936838,0.010936838
ATF7IP,0.000725396,0.000725396
ATG10,0.007446968,0.007446968
ATG16L1,0.00012471434,0.00012471434
ATG4A,0.014833925,0.014833925
ATG4B,-0.012281101,0.012281101
ATIC,0.030326322,0.030326322
ATP11B,-0.0049849246,0.0049849246
ATP1A3,-0.0018569159,0.0018569159
ATP1B1,0.0010295361,0.0010295361
ATP2B4,0.009249009,0.009249009
ATP6V0A4,-0.0010562456,0.0010562456
ATP6V0E2,-0.02179322,0.02179322
ATP6V1E2,-0.0011194493,0.0011194493
ATP6V1G2,0.0015991864,0.0015991864
ATP6V1H,0.06494544,0.06494544
ATP8A1,-0.006296601,0.006296601
ATP8A2,-0.0021260534,0.0021260534
ATP8B3,-0.0006180844,0.0006180844
ATR,0.015278685,0.015278685
ATRX,-0.026029691,0.026029691
AUH,-0.0028401986,0.0028401986
AUTS2,-0.0025968235,0.0025968235
AVP,-0.0025215265,0.0025215265
B2M,0.36713028,0.36713028
B3GALT4,-0.013642397,0.013642397
B3GAT1,0.0005962045,0.0005962045
B3GAT3,-0.032615826,0.032615826
B3GNT7,0.00092183833,0.00092183833
B3GNTL1,0.0028776024,0.0028776024
B4GALT7,-0.011952918,0.011952918
BACE1,0.0,0.0
BAG3,-0.0041257925,0.0041257925
BAG5,0.014859967,0.014859967
BAMBI,0.00032010442,0.00032010442
BASP1,0.018287152,0.018287152
BATF,-0.00047536194,0.00047536194
BAZ1B,-0.009210814,0.009210814
BAZ2A,0.0014643781,0.0014643781
BBC3,-0.028272675,0.028272675
BBIP1,0.000627283,0.000627283
BBS1,-0.0028012197,0.0028012197
BBS10,0.0010360307,0.0010360307
BBS4,0.0008129403,0.0008129403
BBS5,-0.00018326344,0.00018326344
BBS7,0.0030518435,0.0030518435
BCAS2,-0.041130915,0.041130915
BCDIN3D,-0.0038234442,0.0038234442
BCKDHB,-0.0038239034,0.0038239034
BCL11A,0.023398418,0.023398418
BCL2,0.023612358,0.023612358
BCL2A1,0.02197218,0.02197218
BCL2L11,-0.0053335084,0.0053335084
BCL9,0.0018475275,0.0018475275
