gene,proba_de,bf,lfc_mean,lfc_std,proba_up,detection_rate
IFI6,0.9998,8.51699317141368,3.890366005859375,1.2374407642959213,0.9942,1.0
LY6E,0.99946,7.523401272553473,3.507069609375,1.3875509073988188,0.9938,1.0
IFIT1,0.99944,7.487013617376507,4.8357837109375,1.7270050515000064,0.99446,1.0
ISG20,0.99928,7.235539086629615,3.50105521484375,1.5304417381479716,0.9937,1.0
ISG15,0.99918,7.105385881322021,4.80404826171875,1.611472948796243,0.99396,1.0
IFIT3,0.99904,6.9476168124073086,4.5802553125,1.6697371912790722,0.99424,1.0
IFIT2,0.99898,6.88693213113193,4.77421158203125,1.6719548872498529,0.99378,1.0
RSAD2,0.99778,6.10802561524485,4.6626770703125,1.75386591932851,0.99232,1.0
TNFSF10,0.99436,5.172215248616016,4.26036541015625,1.8713676299218092,0.98716,1.0
IFITM3,0.98138,3.964723472548892,3.5907742578125,2.073810821454332,0.96406,1.0
OASL,0.97794,3.7916823046342416,2.8756138671875,1.684448063154205,0.9673,1.0
CXCL11,0.97612,3.7105442411505303,4.96864416015625,4.087377623213348,0.89058,1.0
CXCL10,0.97596,3.7037024922996795,4.63392646484375,3.6238193404432715,0.90276,1.0
CD38,0.9731,3.5883605652201487,3.48157509765625,2.4631124070989676,0.91812,1.0
APOBEC3A,0.97202,3.5478864111431054,3.648128701171875,4.077916080280589,0.79728,1.0
TNFSF13B,0.9696,3.4624410069028744,3.08521212890625,2.1317725868012434,0.93202,1.0
CH25H,0.96932,3.4529838182334562,3.464242353515625,2.9674239792046104,0.88872,1.0
DEFB1,0.96928,3.451639619559402,3.90521669921875,4.529752756182506,0.79704,1.0
CLEC5A,0.96588,3.3431558802701633,-3.21886498046875,4.151919223384761,0.22744,1.0
XCL2,0.96558,3.3340911662750647,0.45347799560546875,5.368382224423075,0.5332,1.0
APOBEC3B,0.96484,3.3120532116663473,3.848341435546875,3.8450706867466065,0.84728,1.0
S1PR5,0.96394,3.285844834234444,0.18126393936157226,5.39617937264757,0.51796,1.0
KLRC2,0.9624,3.2424261142646214,-0.39170838012695314,4.967258716265272,0.47246,1.0
LAG3,0.96198,3.2308813233685165,3.236936298828125,3.5457585961721763,0.81298,1.0
LAIR2,0.9617,3.223252655531836,-0.4237969140625,5.106522927590368,0.47206,1.0
