pathway,n_genes,n_tested,median_member,median_reference,effect,pvalue,qvalue,sign
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,18,18,0.9079552050679922,-6.298697553575039e-05,0.908018192043528,2.1637038771956052e-09,1.8240023684758952e-06,1
REACTOME_INTERFERON_SIGNALING,49,49,0.013688908889889717,-7.943226955831051e-05,0.013768341159448028,2.72686780930019e-07,0.00011493747816200301,1
REACTOME_MRNA_SPLICING,44,44,-0.012153263203799725,8.629553485661745e-05,-0.012239558738656342,5.571129869954056e-07,0.00015654874934570897,-1
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,56,56,-0.008916515856981277,8.629553485661745e-05,-0.009002811391837895,5.557015155105382e-05,0.011711409439384594,-1
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,6,6,-0.2506664637476206,1.0447576642036438e-05,-0.2506769113242626,0.00017647904220574693,0.02975436651588893,-1
REACTOME_PD_1_SIGNALING,12,12,-0.06745954789221287,1.5795230865478516e-05,-0.06747534312307835,0.0003701832389526363,0.04118718857839559,-1
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,14,14,-0.01728150900453329,2.7942820452153683e-05,-0.017309451824985445,0.0003783683182321195,0.04118718857839559,-1
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,56,56,0.0029517701477743685,-6.298697553575039e-05,0.003014757123310119,0.000390862999557728,0.04118718857839559,1
REACTOME_METABOLISM_OF_RNA,150,150,-0.004910603165626526,0.00013342127203941345,-0.005044024437665939,0.0005855530187768834,0.054846799425434745,-1
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,17,17,0.011405633762478828,-2.8026464860886335e-05,0.011433660227339715,0.0011305111846964281,0.0897148123607685,1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,191,191,0.0019131060689687729,-0.00011642184108495712,0.00202952791005373,0.0011706559145533257,0.0897148123607685,1
REACTOME_MRNA_SPLICING_MINOR_PATHWAY,14,14,-0.018056822009384632,2.7942820452153683e-05,-0.018084764829836786,0.001347717454251923,0.09467715116119758,-1
REACTOME_TRANSLATION,52,52,-0.007725836709141731,5.619018338620663e-05,-0.007782026892527938,0.0015660951047764603,0.10155524410204278,-1
