gene,proba_de,bf,lfc_mean,lfc_std,proba_up,detection_rate
IFI6,0.99992,9.43340392009061,4.30645435546875,1.1082030189181193,0.995,1.0
ISG15,0.99974,8.254568893142741,5.37503271484375,1.350180497881461,0.99518,1.0
LY6E,0.9997,8.11142803829918,3.80797501953125,1.1584848337380065,0.99464,1.0
IFIT2,0.99968,8.046869510959617,5.69209595703125,1.242415247491152,0.99568,1.0
IFIT3,0.99962,7.874959233025423,5.78470419921875,1.1889362956193106,0.9957,1.0
RSAD2,0.99956,7.728295734223573,5.608120078125,1.4715006058718567,0.99562,1.0
IFIT1,0.9995,7.60040233450051,6.27174458984375,1.1391950089934797,0.9958,1.0
ISG20,0.99938,7.385170887645732,3.550702587890625,1.3437706828070846,0.9942,1.0
TNFSF10,0.99844,6.4615082396537336,4.54904494140625,1.6128982683948807,0.9941,1.0
MNDA,0.98976,4.5711608698853405,2.55047123046875,3.4992146466280434,0.75122,1.0
CXCL10,0.98906,4.504329200129441,6.0590051171875,3.2105905983005205,0.97754,1.0
CXCL11,0.98892,4.491471757244157,6.73875119140625,3.676839043128058,0.9801,1.0
IFITM3,0.98406,4.122855197441006,3.893374482421875,2.061759768438408,0.97526,1.0
CH25H,0.98348,4.086525533993163,5.0842155078125,3.0721098228853867,0.9432,1.0
OASL,0.98306,4.060992466700418,2.976900458984375,1.5459185632411618,0.97344,1.0
CD38,0.98196,3.996959059692816,4.055158671875,2.392793155167615,0.95122,1.0
IFI27,0.98188,3.9924528006799846,3.54795197265625,1.8700736122809776,0.97758,1.0
APOBEC3A,0.98128,3.9592653708282297,3.916213095703125,3.8847090751326987,0.8077,1.0
DEFB1,0.97712,3.754346302963227,4.944946015625,4.554932182130096,0.82706,1.0
APOBEC3B,0.97258,3.5686796601858797,4.719187734375,3.50555317535258,0.91762,1.0
CLEC5A,0.9716,3.5325550519608577,-4.4465799609375,4.058341728894828,0.1511,1.0
GBP5,0.97118,3.517442236441094,2.329889609375,1.4930410039166406,0.95566,1.0
IDO1,0.97064,3.498322443997301,3.8847578515625,3.504334162019728,0.8579,1.0
PRR5,0.96932,3.4529838182334562,3.519492216796875,2.843486678187752,0.8859,1.0
CCL2,0.9693,3.4523115069054127,2.074976533203125,3.9039639065354255,0.76252,1.0
LAG3,0.96902,3.442943416523926,4.058200009765625,3.32745939721483,0.88792,1.0
TNFSF13B,0.96778,3.402417410970115,3.0297794921875,2.111027394044794,0.9296,1.0
KRT2,0.96712,3.3814580127057567,-2.2060884033203125,5.506144221786298,0.31878,1.0
ZNF704,0.96682,3.3720650506548813,-3.98156822265625,3.7982040107245356,0.16178,1.0
CD14,0.9666,3.3652288594283295,-2.45303908203125,3.934527693164363,0.2457,1.0
ARHGEF35,0.96618,3.352297808787527,-3.65567908203125,3.03973322932279,0.10548,1.0
VCAN,0.96584,3.341942820103764,-3.785838447265625,3.917612412787973,0.1784,1.0
CXCL9,0.96564,3.335897996829989,3.502091904296875,3.558873245598007,0.83228,1.0
CLEC2D,0.96558,3.3340911662750647,1.0966266284179687,3.510247392505924,0.73002,1.0
GBP4,0.96556,3.3334895643450384,2.359970537109375,1.6169519579406768,0.95012,1.0
UBAC1,0.9654,3.328688841162715,-1.8166347265625,1.2919138044233798,0.0321,1.0
BDH1,0.9652,3.3227179469704464,-2.025745546875,4.307487374249181,0.27214,1.0
CCL7,0.96494,3.3150050437470773,2.461920302734375,3.8556291114238777,0.77476,1.0
CATSPER1,0.96484,3.3120532116663473,-2.210517548828125,4.968011413100608,0.31064,1.0
KLRC2,0.96462,3.3055875526712852,-0.19833318048000337,5.8331837064030205,0.48674,1.0
NELL2,0.9646,3.305001687495143,-1.9119617529296875,4.7639110923650785,0.34346,1.0
E2F5,0.96444,3.3003262113669227,3.22316380859375,4.120798938445848,0.7823,1.0
CCL3L1,0.9644,3.2991605084490323,0.40567064697265626,5.902334356628298,0.52806,1.0
XCL1,0.96432,3.2968328820229242,-0.7252457250976563,5.098889620003317,0.4481,1.0
S100B,0.9631,3.261945697520336,-1.026199609375,5.078418036391215,0.42288,1.0
CA6,0.96288,3.255772885523679,0.1703416000366211,5.146438353237311,0.51538,1.0
SPRY1,0.9628,3.2535369446298157,-2.077426552734375,4.644236878499973,0.333,1.0
SIGLEC7,0.96246,3.2440854756984416,-2.693226025390625,3.0710858507572065,0.16776,1.0
KRT86,0.96236,3.2413212863197676,-1.615045693359375,5.06133790540963,0.37312,1.0
SOCS1,0.96232,3.2402175859776534,2.0191509619140624,2.372321997247953,0.8255,1.0
PGAP1,0.96224,3.238013558522864,1.8773205078125,2.875263217571848,0.76382,1.0
PTGDR,0.96206,3.233070854276278,-1.3909981005859375,5.006095033785447,0.39104,1.0
GPC2,0.96204,3.2325230561011336,-1.4724919970703125,4.734990980370384,0.37794,1.0
NOG,0.96178,3.2254267954712907,-1.2231324072265626,5.063363468524865,0.4076,1.0
CHN1,0.9617,3.223252655531836,-0.7171151965332031,5.505686997144512,0.44162,1.0
NCAPH,0.9616,3.2205411041872622,-1.7313385498046876,4.525939848634779,0.35354,1.0
CXCL1,0.96154,3.2189174256669406,-2.27108861328125,4.659761673559523,0.3176,1.0
KLF5,0.96154,3.2189174256669406,1.911135888671875,4.584032665067447,0.68708,1.0
IL4I1,0.9615,3.2178363237350966,1.7370143701171874,3.1405342250374204,0.74368,1.0
NEIL1,0.9615,3.2178363237350966,-1.331168271484375,4.932313622795929,0.39616,1.0
XCL2,0.96126,3.211372265907828,-0.5024768103027344,5.082552318543606,0.46614,1.0
IL1RN,0.96122,3.210298661155516,4.372110859375,3.3309799832722202,0.88618,1.0
AQP3,0.96116,3.20869024492492,-1.3881277880859375,4.783991819424302,0.37998,1.0
CPNE7,0.96112,3.2076192915096122,-2.0195950927734376,4.6416750787022405,0.34512,1.0
MMP7,0.96026,3.184845844002818,-2.746448779296875,4.148791762317519,0.24728,1.0
G0S2,0.96022,3.183798151448052,-2.007059248046875,4.587785316721949,0.33676,1.0
MYB,0.96008,3.180139162879924,-0.9249481103515625,4.9756309093703965,0.42426,1.0
CD79B,0.96,3.178053830347945,-1.994633701171875,4.023588522857971,0.29612,1.0
CD160,0.95978,3.1723397071880153,-0.8004638256835938,4.574993520284699,0.43646,1.0
S100A8,0.95964,3.168719018646392,-2.1588703662109374,4.436235179746589,0.27838,1.0
TNFRSF13C,0.95958,3.1671709767553593,-1.5715911767578126,4.271190755516779,0.35206,1.0
P2RX5,0.95932,3.160488128961604,-0.5681017492675782,4.818867558161784,0.4685,1.0
IGFBP4,0.95924,3.158440095907148,2.25486453125,2.342065679872304,0.86394,1.0
IFNG,0.95918,3.1569065954053035,0.857222646484375,4.767680109993678,0.56946,1.0
FBLN5,0.95912,3.1553752515039486,-0.40712725708007813,5.000267693425768,0.46522,1.0
CD27,0.95902,3.152827786912572,-1.460347373046875,4.776953601018655,0.37152,1.0
COL6A2,0.95902,3.152827786912572,-0.90710537109375,4.6871803226441875,0.42634,1.0
ITGA1,0.95898,3.151810466964384,-1.2899891455078125,4.734453517973011,0.3941,1.0
FGFBP3,0.95886,3.1487641946002625,-0.9571218676757812,5.0749080344910515,0.42078,1.0
COL9A3,0.95886,3.1487641946002625,-0.6869697399902344,4.6723542896047325,0.44422,1.0
SPP1,0.95868,3.1442106940305123,-0.6992155212402343,4.6448271377126344,0.44314,1.0
ROBO3,0.95862,3.142697077950139,-1.0675161987304687,4.732748980819504,0.40538,1.0
YES1,0.95838,3.136663538064432,-0.12328693321228028,4.704019169574472,0.49964,1.0
CCNE1,0.95824,3.1331593249417686,-0.2399708869934082,4.697782404525628,0.4796,1.0
NCALD,0.95822,3.1326596405719873,0.6821139086914062,5.052030747933917,0.55842,1.0
ATP1A3,0.95812,3.130164645084359,-1.46224830078125,4.759298233194401,0.36686,1.0
EPHX2,0.95812,3.130164645084359,-0.15989918327331543,4.92659843838155,0.48842,1.0
MMP9,0.95804,3.1281727472245495,-3.21179033203125,3.3244120209362724,0.1777,1.0
WNT7A,0.95804,3.1281727472245495,-0.8516544287109375,5.361645186792674,0.42574,1.0
FST,0.95788,3.1241998218989413,-0.2935837842178345,4.6611707856389835,0.4787,1.0
S1PR5,0.9578,3.1222187668665424,-0.6477099145507812,4.75140498047342,0.44668,1.0
DACT1,0.95768,3.11925390539307,-3.10056974609375,3.115427511230704,0.14236,1.0
AGBL3,0.95768,3.11925390539307,-0.666615390625,4.463735684909208,0.44258,1.0
CD8B,0.95768,3.11925390539307,-0.456581103515625,4.823825588191125,0.46454,1.0
PLAU,0.95738,3.1118767601595674,-2.31373361328125,3.599590836282298,0.24804,1.0
COL19A1,0.95734,3.1108968922208535,-0.7323058984375,4.597800130482364,0.4384,1.0
GP9,0.95724,3.1084510575541935,-0.4406733056640625,4.723939059810161,0.45572,1.0
