interferon_ab_rank,interferon_parent_rank,interferon_induction_rank,top_20_hit_rate,sample_fraction,method,n_train,train_time_s
1.0,2.0,143.0,0.1,1.0,naive,19738,2039.8979380130768
1.0,2.0,233.0,0.15,1.0,model,19738,2039.8979380130768
1.0,2.0,143.0,0.1,0.5,naive,9869,1272.1240301132202
1.0,2.0,202.0,0.15,0.5,model,9869,1272.1240301132202
1.0,2.0,143.0,0.1,0.25,naive,4934,753.901829957962
1.0,2.0,490.0,0.15,0.25,model,4934,753.901829957962
1.0,2.0,143.0,0.1,0.1,naive,1973,523.3540768623352
1.0,2.0,783.0,0.15,0.1,model,1973,523.3540768623352
1.0,2.0,143.0,0.1,0.05,naive,986,403.8658130168915
1.0,2.0,42.0,0.15,0.05,model,986,403.8658130168915
